fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
2020-07-05,782,243,664,199,0.31074168797953966,0.2996987951807229
2020-07-06,3385,1225,2762,989,0.361890694239291,0.3580738595220854
2020-07-07,3355,1290,2713,998,0.38450074515648286,0.3678584592701806
2020-07-08,3342,1233,2868,1052,0.36894075403949733,0.3668061366806137
2020-07-09,3007,1005,2426,738,0.3342201529763884,0.30420445177246497
2020-07-10,3100,990,2589,830,0.3193548387096774,0.32058709926612594
2020-07-11,1035,351,841,286,0.3391304347826087,0.3400713436385256
2020-07-12,748,265,629,227,0.35427807486631013,0.36089030206677264
2020-07-13,3505,1338,2924,1085,0.3817403708987161,0.3710670314637483
2020-07-14,3450,1266,2877,1039,0.36695652173913046,0.3611400764685436
2020-07-15,4411,1408,3827,1162,0.3192019950124688,0.3036320877972302
2020-07-16,4312,1377,3740,1127,0.31934137291280146,0.3013368983957219
2020-07-17,4340,1250,3846,1071,0.2880184331797235,0.2784711388455538
2020-07-18,1801,619,1619,554,0.34369794558578565,0.34218653489808526
2020-07-19,930,296,808,244,0.31827956989247314,0.30198019801980197
2020-07-20,4048,1391,3471,1148,0.3436264822134387,0.3307404206280611
2020-07-21,3755,1221,3195,1038,0.32516644474034623,0.3248826291079812
2020-07-22,4179,1463,3678,1318,0.3500837520938023,0.3583469276780859
2020-07-23,3768,1265,3258,1106,0.3357218683651805,0.33947206875383673
2020-07-24,3749,1093,3256,951,0.29154441184315816,0.29207616707616707
2020-07-25,1352,433,1187,380,0.3202662721893491,0.3201347935973041
2020-07-26,912,301,784,250,0.3300438596491228,0.31887755102040816
2020-07-27,3560,1269,2964,1069,0.35646067415730337,0.3606612685560054
2020-07-28,3628,1125,3078,934,0.31008820286659317,0.30344379467186483
2020-07-29,3765,1131,3361,1003,0.300398406374502,0.29842308836655757
2020-07-30,3895,1249,3393,1080,0.3206675224646983,0.3183023872679045
2020-07-31,3759,1184,3259,1006,0.3149773876030859,0.3086836452899662
2020-08-01,1487,444,1295,396,0.29858776059179554,0.30579150579150577
2020-08-02,821,272,685,227,0.3313032886723508,0.33138686131386863
2020-08-03,3076,1015,2641,860,0.32997399219765927,0.3256342294585384
2020-08-04,3832,1226,3295,1041,0.319937369519833,0.3159332321699545
2020-08-05,3691,1245,3207,1057,0.33730696288268763,0.32959151855316493
2020-08-06,3453,1018,2974,881,0.29481610194034175,0.2962340282447882
2020-08-07,3743,1096,3212,963,0.2928132514026182,0.299813200498132
2020-08-08,1385,396,1217,349,0.28592057761732853,0.2867707477403451
2020-08-09,721,207,588,176,0.2871012482662968,0.29931972789115646
2020-08-10,3500,1102,2932,916,0.31485714285714284,0.31241473396998637
2020-08-11,3925,1270,3467,1112,0.3235668789808917,0.3207383905393712
2020-08-12,3890,1165,3331,1005,0.2994858611825193,0.30171119783848693
2020-08-13,3859,1070,3346,951,0.27727390515677636,0.28421996413628214
2020-08-14,4124,1221,3510,1035,0.2960717749757517,0.2948717948717949
2020-08-15,1498,440,1309,386,0.2937249666221629,0.29488158899923606
2020-08-16,741,216,620,175,0.291497975708502,0.28225806451612906
2020-08-17,3584,1162,3075,986,0.32421875,0.32065040650406507
2020-08-18,3910,1353,3453,1194,0.34603580562659847,0.34578627280625546
2020-08-19,4008,1262,3534,1119,0.3148702594810379,0.3166383701188455
2020-08-20,3229,957,2782,832,0.2963765871786931,0.29906542056074764
2020-08-21,4050,1228,3519,1054,0.30320987654320986,0.2995169082125604
2020-08-22,1473,429,1276,384,0.29124236252545826,0.30094043887147337
2020-08-23,737,255,615,217,0.34599728629579374,0.35284552845528455
2020-08-24,3940,1371,3274,1133,0.3479695431472081,0.3460598656078192
2020-08-25,3644,1322,2981,1066,0.362788144895719,0.3575981214357598
2020-08-26,5137,1630,4551,1443,0.317305820517812,0.3170731707317073
2020-08-27,5142,1444,4529,1253,0.2808245818747569,0.27666151468315303
2020-08-28,5197,1384,4585,1212,0.26630748508755053,0.264340239912759
2020-08-29,2111,540,1826,481,0.25580293699668405,0.2634173055859803
2020-08-30,920,279,721,240,0.3032608695652174,0.332871012482663
2020-08-31,4158,1386,3476,1105,0.3333333333333333,0.31789413118527043
2020-09-01,5164,1773,4559,1530,0.3433384972889233,0.33559991226146085
2020-09-02,5372,1759,4704,1508,0.3274385703648548,0.320578231292517
2020-09-03,5520,1543,4759,1323,0.27952898550724636,0.27799957974364364
2020-09-04,5319,1479,4697,1266,0.27805978567399886,0.269533744943581
2020-09-05,2000,548,1739,466,0.274,0.2679700977573318
2020-09-06,1145,335,952,285,0.2925764192139738,0.29936974789915966
2020-09-07,4018,1250,3381,1037,0.31110004977600797,0.3067139899438036
2020-09-08,4999,1621,4385,1410,0.3242648529705941,0.3215507411630559
2020-09-09,5106,1450,4451,1272,0.2839796318057188,0.28577847674679846
2020-09-10,5514,1380,4804,1205,0.250272034820457,0.25083263946711076
2020-09-11,4918,1273,4357,1134,0.2588450589670598,0.2602708285517558
2020-09-12,2125,672,1899,609,0.31623529411764706,0.320695102685624
2020-09-13,706,232,575,194,0.3286118980169972,0.3373913043478261
2020-09-14,4185,1253,3537,1040,0.2994026284348865,0.29403449250777497
2020-09-15,3169,940,2720,810,0.2966235405490691,0.2977941176470588
2020-09-16,578,194,479,161,0.3356401384083045,0.33611691022964507
2020-09-17,4446,1495,3827,1277,0.3362573099415205,0.3336817350405017
2020-09-18,4536,1380,3970,1202,0.30423280423280424,0.30277078085642317
2020-09-19,1913,614,1672,552,0.32096184004181916,0.33014354066985646
2020-09-20,795,285,657,243,0.3584905660377358,0.3698630136986301
2020-09-21,3604,1197,3097,1017,0.3321309655937847,0.3283823054568938
2020-09-22,4575,1447,3996,1287,0.3162841530054645,0.32207207207207206
2020-09-23,4404,1416,3781,1215,0.3215258855585831,0.3213435599047871
2020-09-24,4224,1265,3722,1110,0.2994791666666667,0.2982267598065556
2020-09-25,4381,1298,3758,1134,0.2962793882675188,0.30175625332623734
2020-09-26,2102,703,1847,618,0.33444338725023787,0.3345966432051976
2020-09-27,860,295,706,261,0.3430232558139535,0.3696883852691218
2020-09-28,4305,1407,3670,1195,0.32682926829268294,0.32561307901907355
2020-09-29,4445,1417,3867,1268,0.318785151856018,0.3279027670028446
2020-09-30,4367,1356,3782,1209,0.3105106480421342,0.319672131147541
2020-10-01,3990,1292,3497,1146,0.3238095238095238,0.32770946525593364
2020-10-02,4376,1161,3780,1012,0.2653107861060329,0.2677248677248677
2020-10-03,1781,557,1583,499,0.31274564851207187,0.31522425773847124
2020-10-04,749,282,637,243,0.376502002670227,0.3814756671899529
2020-10-05,3766,1298,3155,1096,0.34466277217206587,0.3473851030110935
2020-10-06,4477,1382,3942,1214,0.3086888541433996,0.30796549974632165
2020-10-07,4789,1371,4162,1203,0.2862810607642514,0.28904372897645364
2020-10-08,4492,1272,3944,1141,0.2831700801424755,0.2893002028397566
2020-10-09,4486,1297,3969,1170,0.2891217119928667,0.2947845804988662
2020-10-10,1602,484,1389,422,0.3021223470661673,0.30381569474442044
2020-10-11,861,286,737,261,0.3321718931475029,0.3541383989145183
2020-10-12,4502,1404,3838,1210,0.3118613949355842,0.3152683689421574
2020-10-13,5616,1743,4849,1471,0.31036324786324787,0.3033615178387296
2020-10-14,4990,1370,4369,1200,0.2745490981963928,0.2746623941405356
2020-10-15,4429,1410,3888,1261,0.3183562881011515,0.3243312757201646
2020-10-16,5512,1694,4883,1493,0.3073294629898404,0.3057546590210936
2020-10-17,2165,666,1923,592,0.30762124711316396,0.3078523140925637
2020-10-18,1121,373,974,309,0.3327386262265834,0.31724845995893225
2020-10-19,6628,2153,5962,1870,0.3248340374170187,0.31365313653136534
2020-10-20,7311,2233,6488,1973,0.3054301737108467,0.30409987669543775
2020-10-21,7121,1931,6278,1720,0.27116977952534754,0.273972602739726
2020-10-22,7644,1940,6734,1712,0.25379382522239663,0.2542322542322542
2020-10-23,7308,1975,6506,1755,0.27025177887246854,0.2697509990777744
2020-10-24,2384,718,2102,624,0.3011744966442953,0.29686013320647003
2020-10-25,1556,491,1337,417,0.31555269922879176,0.3118922961854899
2020-10-26,7612,2249,6657,1944,0.29545454545454547,0.29202343397926994
2020-10-27,8187,2180,7270,1926,0.26627580310247956,0.26492434662998626
2020-10-28,8105,2147,7191,1937,0.264898210980876,0.2693644833820053
2020-10-29,7794,1869,6770,1601,0.23979984603541185,0.2364844903988183
2020-10-30,6759,1788,5816,1542,0.26453617399023527,0.26513067400275103
2020-10-31,2165,739,1920,651,0.34133949191685914,0.3390625
2020-11-01,994,389,825,320,0.39134808853118713,0.3878787878787879
2020-11-02,2017,706,1756,627,0.35002478929102626,0.3570615034168565
2020-11-03,6963,2410,6063,2087,0.346115180238403,0.3442190334817747
2020-11-04,6995,2222,6145,1979,0.3176554681915654,0.3220504475183076
2020-11-05,6771,2083,6037,1888,0.30763550435681586,0.3127381149577605
2020-11-06,6469,1936,5736,1723,0.2992734580306075,0.30038354253835425
2020-11-07,2608,891,2288,787,0.3416411042944785,0.34396853146853146
2020-11-08,1034,441,821,348,0.42649903288201163,0.4238733252131547
2020-11-09,7301,2609,6383,2285,0.35734830845089716,0.35798214005953316
2020-11-10,7935,2708,6963,2333,0.3412728418399496,0.33505672842165735
2020-11-11,6887,2109,5979,1845,0.3062291273413678,0.3085800301053688
2020-11-12,6601,1858,5766,1630,0.2814725041660355,0.2826916406520985
2020-11-13,6599,1926,5837,1695,0.2918624033944537,0.2903888984067158
2020-11-14,2125,693,1847,586,0.3261176470588235,0.31727125067677314
2020-11-15,1020,366,888,325,0.3588235294117647,0.36599099099099097
2020-11-16,822,342,701,288,0.41605839416058393,0.4108416547788873
2020-11-17,6643,1999,5809,1725,0.3009182598223694,0.2969530039593734
2020-11-18,6571,2219,5713,1891,0.33769593669152337,0.33099947488184844
2020-11-19,6943,2180,6080,1927,0.3139853089442604,0.3169407894736842
2020-11-20,6383,1905,5544,1634,0.29844900516998274,0.29473304473304474
2020-11-21,3742,1215,3339,1072,0.32469267771245325,0.32105420784666067
2020-11-22,2486,1492,2077,1229,0.6001609010458568,0.5917188252286952
2020-11-23,8855,3405,7650,2840,0.3845285149632976,0.3712418300653595
2020-11-24,10244,3127,8865,2759,0.30525185474424055,0.31122391426959956
2020-11-25,10377,2596,8966,2260,0.25016864218945745,0.2520633504349766
2020-11-26,10570,2775,9111,2414,0.2625354777672658,0.2649544506640325
2020-11-27,10316,2758,8969,2400,0.26735168670027143,0.26758835990634405
2020-11-28,4214,1050,3693,887,0.24916943521594684,0.24018413214189005
2020-11-29,2419,735,2064,631,0.30384456386936753,0.3057170542635659
2020-11-30,11576,3227,10009,2751,0.27876641326883206,0.2748526326306324
2020-12-01,12978,3424,11222,2973,0.2638310987825551,0.2649260381393691
2020-12-02,14518,3643,12487,3127,0.2509298801487808,0.25042043725474494
2020-12-03,14891,3749,12930,3256,0.25176280975085624,0.25181747873163185
2020-12-04,15624,3891,13372,3309,0.2490399385560676,0.24745737361651213
2020-12-05,5455,1472,4825,1289,0.2698441796516957,0.2671502590673575
2020-12-06,3404,939,2879,775,0.27585193889541715,0.26919069121222644
2020-12-07,16413,4712,14053,4013,0.28708950222384694,0.28556180175051593
2020-12-08,18028,4858,15410,4093,0.26946971377856666,0.2656067488643738
2020-12-09,17077,4595,14613,3873,0.269075364525385,0.2650379798809279
2020-12-10,17741,4548,15313,3896,0.25635533509948705,0.2544243453274995
2020-12-11,17026,4374,14616,3753,0.2569012099142488,0.2567733990147783
2020-12-12,5711,1737,4989,1512,0.30414988618455613,0.30306674684305474
2020-12-13,3336,1040,2740,854,0.3117505995203837,0.3116788321167883
2020-12-14,17389,5104,14539,4274,0.29351889125309105,0.2939679482770479
2020-12-15,17151,5026,14584,4255,0.2930441373680835,0.29175809105869444
2020-12-16,16642,4930,13921,4128,0.29623843288066337,0.2965304216651103
2020-12-17,16883,4654,14184,3885,0.27566190842859684,0.27390016920473775
2020-12-18,17508,4937,15001,4111,0.2819853781128627,0.2740483967735484
2020-12-19,6760,1761,5949,1516,0.26050295857988165,0.25483274499915953
2020-12-20,3948,1051,3228,859,0.2662107396149949,0.2661090458488228
2020-12-21,18339,5664,15720,4825,0.30884999182070993,0.30693384223918574
2020-12-22,17416,4911,15017,4165,0.2819820854386771,0.2773523340214424
2020-12-23,16730,4669,14528,3993,0.2790794979079498,0.2748485682819383
2020-12-24,12972,3454,11413,2988,0.26626580326857846,0.2618067116446158
2020-12-25,2561,840,2082,661,0.3279968762202265,0.3174831892411143
2020-12-26,5454,1595,4660,1378,0.29244591125779246,0.2957081545064378
2020-12-27,3734,1064,3173,894,0.2849491162292448,0.28175228490387644
2020-12-28,16168,4451,14057,3913,0.27529688273132114,0.278366650067582
2020-12-29,17442,4696,15222,4057,0.26923517945189773,0.2665221390093286
2020-12-30,16469,4206,14452,3638,0.255388912502277,0.2517298643786327
2020-12-31,12833,3435,11432,2984,0.2676692901114315,0.2610216934919524
2021-01-01,2828,812,2474,704,0.2871287128712871,0.28455941794664513
2021-01-02,4697,1566,3987,1331,0.3334043006174154,0.33383496363180337
2021-01-03,4290,1328,3507,1091,0.3095571095571096,0.3110921015112632
2021-01-04,15807,4545,13774,3929,0.2875308407667489,0.2852475678815159
2021-01-05,18080,5129,15610,4489,0.28368362831858407,0.287572069186419
2021-01-06,17740,4961,15457,4281,0.2796505073280722,0.2769618942873779
2021-01-07,20145,5331,17166,4614,0.26463142218912883,0.26878713736455784
2021-01-08,18517,4875,15652,4146,0.26327158827023817,0.2648862765141835
2021-01-09,7305,2215,6360,1930,0.30321697467488024,0.30345911949685533
2021-01-10,5336,1418,4344,1209,0.26574212893553223,0.27831491712707185
2021-01-11,19950,5461,17095,4769,0.273734335839599,0.2789704591985961
2021-01-12,22129,6230,18936,5358,0.2815310226399747,0.2829531051964512
2021-01-13,21974,5782,18786,4992,0.2631291526349322,0.26572979878633024
2021-01-14,27159,7708,23449,6853,0.28381015501307116,0.29225126871081925
2021-01-15,24782,7175,21539,6330,0.28952465499152613,0.29388551000510704
2021-01-16,10282,3032,9036,2729,0.294884263761914,0.3020141655599823
2021-01-17,8336,2395,7114,2105,0.2873080614203455,0.29589541748664605
2021-01-18,24709,7321,21452,6321,0.2962888016512202,0.29465784076076823
2021-01-19,26869,7349,23116,6356,0.27351222598533625,0.2749610659283613
2021-01-20,26152,7376,22612,6430,0.28204343836035484,0.28436228551211745
2021-01-21,26532,6618,22676,5721,0.24943464495703302,0.25229317339918855
2021-01-22,25242,5831,21481,4973,0.2310038824181919,0.23150691308598295
2021-01-23,9136,2297,7735,1989,0.251422942206655,0.2571428571428571
2021-01-24,7161,1683,6097,1502,0.2350230414746544,0.24635066426111202
2021-01-25,23894,5663,20472,4819,0.23700510588432241,0.23539468542399375
2021-01-26,23639,4913,20232,4294,0.20783451076610684,0.21223803875049427
2021-01-27,26720,5572,23077,4904,0.2085329341317365,0.2125059583134723
2021-01-28,24347,5016,20867,4363,0.20602127572185486,0.20908611683519432
2021-01-29,21830,4264,18895,3660,0.19532753092075125,0.19370203757607832
2021-01-30,8486,1408,7139,1200,0.16592033938251238,0.16809076901526823
2021-01-31,6048,1007,5101,858,0.16650132275132276,0.16820231327190746
2021-02-01,5305,1056,4570,898,0.19905749293119698,0.19649890590809627
2021-02-02,20794,4232,18101,3674,0.20352024622487255,0.20297221148002872
2021-02-03,23113,4023,19978,3434,0.17405788949941592,0.17188907798578437
2021-02-04,19790,3383,16926,2944,0.17094492167761496,0.173933593288432
2021-02-05,19476,3215,16974,2867,0.1650749640583282,0.16890538470602098
2021-02-06,6495,1070,5624,914,0.16474210931485758,0.16251778093883357
2021-02-07,4568,663,3959,565,0.14514010507880912,0.14271280626420813
2021-02-08,18847,3408,16288,2965,0.1808245344086592,0.18203585461689586
2021-02-09,20022,3405,17219,2896,0.17006293077614623,0.1681863058249608
2021-02-10,19547,3174,16649,2689,0.1623778584949097,0.16151120187398643
2021-02-11,17738,2680,15011,2259,0.15108805953320556,0.15048964092998468
2021-02-12,18154,2802,15587,2465,0.1543461496089016,0.15814460768589209
2021-02-13,5584,960,4892,826,0.17191977077363896,0.1688470973017171
2021-02-14,3757,480,3344,427,0.12776151184455684,0.1276913875598086
2021-02-15,18217,2846,15649,2475,0.1562276994016578,0.15815707073934437
2021-02-16,17274,2638,15035,2310,0.15271506310061364,0.15364150315929498
2021-02-17,17284,2536,14796,2214,0.14672529507058552,0.14963503649635038
2021-02-18,16875,2277,14349,1978,0.13493333333333332,0.13784932747926684
2021-02-19,15774,2373,13735,2087,0.1504374286801065,0.1519475791772843
2021-02-20,5232,831,4460,704,0.1588302752293578,0.15784753363228698
2021-02-21,3578,488,3008,421,0.1363890441587479,0.13996010638297873
2021-02-22,17162,2761,14802,2388,0.1608786854678942,0.1613295500608026
2021-02-23,16759,2570,14398,2288,0.15335043857032044,0.1589109598555355
2021-02-24,16148,2357,13836,2095,0.14596234827842458,0.15141659439144262
2021-02-25,14796,2215,12579,1973,0.14970262233035955,0.15684871611415852
2021-02-26,15078,2074,12902,1817,0.1375513993898395,0.1408308789334987
2021-02-27,4928,781,4083,684,0.15848214285714285,0.16752387950036737
2021-02-28,4097,509,3444,444,0.12423724676592629,0.1289198606271777
2021-03-01,16498,2671,13900,2314,0.16189841192871862,0.1664748201438849
2021-03-02,14875,2180,12694,1892,0.1465546218487395,0.14904679376083188
2021-03-03,15959,2334,13523,2046,0.1462497650228711,0.1512977889521556
2021-03-04,13387,2054,11427,1833,0.1534324344513334,0.16040955631399317
2021-03-05,11540,1798,9819,1600,0.1558058925476603,0.16294938384764232
2021-03-06,5646,719,4664,644,0.1273467941905774,0.13807890222984562
2021-03-07,4000,507,3283,424,0.12675,0.12915016752969843
2021-03-08,14763,2388,12816,2056,0.16175574070310914,0.16042446941323346
2021-03-09,13652,2021,12000,1779,0.148036917667741,0.14825
2021-03-10,12276,1759,10423,1553,0.14328771586836103,0.14899740957497842
2021-03-11,12096,1686,10342,1493,0.13938492063492064,0.14436279249661574
2021-03-12,12153,1628,10396,1447,0.1339586933267506,0.13918814928818776
2021-03-13,3900,574,3325,508,0.14717948717948717,0.15278195488721805
2021-03-14,2096,319,1790,276,0.15219465648854963,0.15418994413407822
2021-03-15,2638,355,2299,319,0.13457164518574677,0.13875598086124402
2021-03-16,13735,2015,11852,1771,0.14670549690571533,0.14942625717178534
2021-03-17,13037,1684,11246,1475,0.12917082150801565,0.13115774497599147
2021-03-18,12105,1482,10419,1321,0.12242874845105328,0.1267875995776946
2021-03-19,10900,1235,9318,1094,0.11330275229357799,0.11740716892036918
2021-03-20,3418,507,2897,408,0.1483323581041545,0.14083534691059718
2021-03-21,2393,319,2108,269,0.13330547430004178,0.12760910815939278
2021-03-22,14103,1681,12090,1475,0.11919449762461888,0.12200165425971878
2021-03-23,11897,1536,10134,1382,0.12910817853240314,0.13637260706532464
2021-03-24,12309,1296,10389,1126,0.10528881306361199,0.1083838675522187
2021-03-25,10929,1150,9399,1029,0.105224631713789,0.10947973188637089
2021-03-26,9150,1087,7749,977,0.11879781420765027,0.12608078461737
2021-03-27,3800,438,3214,376,0.11526315789473685,0.11698817672682016
2021-03-28,2038,253,1736,226,0.12414131501472031,0.13018433179723501
2021-03-29,11217,1365,9675,1162,0.12169029152179728,0.12010335917312662
2021-03-30,11568,1237,9955,1086,0.10693291839557399,0.10909090909090909
2021-03-31,9628,1184,8340,1033,0.12297465724968841,0.12386091127098321
2021-04-01,8664,700,7400,604,0.08079409048938135,0.08162162162162162
2021-04-02,5832,560,4926,480,0.09602194787379972,0.09744214372716199
2021-04-03,1504,217,1335,191,0.14428191489361702,0.14307116104868914
2021-04-04,1534,240,1320,189,0.15645371577574968,0.1431818181818182
2021-04-05,10077,1198,8586,1040,0.11888458866726208,0.121127416724901
2021-04-06,9677,1205,8306,1054,0.12452206262271365,0.12689621960028893
2021-04-07,10151,1160,8739,1031,0.11427445571864842,0.1179768852271427
2021-04-08,10929,1040,9306,917,0.0951596669411657,0.09853857726198152
2021-04-09,9911,1032,8380,901,0.10412672787811522,0.10751789976133652
2021-04-10,3660,458,3154,388,0.1251366120218579,0.12301838934686113
2021-04-11,2834,243,2357,192,0.08574453069865914,0.08145948239287229
2021-04-12,11454,1204,9523,1047,0.10511611664047495,0.10994434526934789
2021-04-13,12885,1177,10861,1009,0.0913465269693442,0.09290120615044656
2021-04-14,10008,831,8642,754,0.08303357314148681,0.087248322147651
